0,000	0
0,053	0
0,107	0
0,160	0
0,213	0
0,265	0
0,321	0
0,375	1
0,429	0
0,482	0
0,536	1
0,592	0
0,647	0
0,702	0
0,755	0
0,810	0
0,861	0
0,916	0
0,970	0
1,022	1
1,077	0
1,132	0
1,184	0
1,234	0
1,284	0
1,336	0
1,389	0
1,443	0
1,494	0
1,544	1
1,595	0
1,645	0
1,700	0
1,754	0
1,806	1
1,859	0
1,914	0
1,965	0
2,017	0
2,068	0
2,123	0
2,173	0
2,225	1
2,278	0
2,329	0
2,380	1
2,432	0
2,486	0
2,538	1
2,591	0
2,645	0
2,695	0
2,748	0
2,803	0
2,854	0
2,906	0
2,956	0
3,008	0
3,064	0
3,122	1
3,174	0
3,225	0
3,280	0
3,332	0
3,385	0
3,438	0
3,490	0
3,545	0
3,600	0
3,653	0
3,706	1
3,758	0
3,812	0
3,873	0
3,928	0
3,982	0
4,036	0
4,088	0
4,141	0
4,193	1
4,245	0
4,296	0
4,348	0
4,401	0
4,455	1
4,507	0
4,558	0
4,609	0
4,660	0
4,710	0
4,761	0
4,811	0
4,867	0
4,918	0
4,972	0
5,023	0
5,073	0
5,123	0
5,177	0
5,232	1
